dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,opt-125m,grouped beam search,0.292816438,0.091702476,0.241432422,0.242685856,0.886358522,0.895428195,0.877722714,0.30531507,0.102313596,0.244190396,0.244171878,0.881388447,0.892553224,0.870840105,3970.74614
xsum,opt-125m,beam search top-k sampling,0.296677181,0.097971077,0.241844793,0.243522051,0.885444887,0.893000576,0.878258198,0.300814927,0.101481628,0.241824036,0.241775335,0.87950332,0.889501436,0.870117154,1760.145068
xsum,opt-125m,beam search,0.298628758,0.094474409,0.241899083,0.24289351,0.884745631,0.892989496,0.876931449,0.303722773,0.10262865,0.243197715,0.243208926,0.881495182,0.892772381,0.870851499,3950.780125
xsum,opt-125m,beam search multinomial sampling,0.291574408,0.09089012,0.232177643,0.233825309,0.883266731,0.890568622,0.876358231,0.300711537,0.10098043,0.241556348,0.241544034,0.879566855,0.889919726,0.869848058,2756.573619
xsum,opt-125m,greedy decoding,0.285630063,0.084637142,0.227910294,0.229319453,0.882088993,0.88738447,0.87711146,0.300738157,0.095525219,0.238006292,0.237994477,0.877745856,0.885136568,0.870852873,577.2207663
xsum,opt-125m,contrastive search,0.277237286,0.074945711,0.221507126,0.223081065,0.880145059,0.885926379,0.874685027,0.295145159,0.089104692,0.23269765,0.232709123,0.876249128,0.883446,0.869540068,1615.232112
xsum,opt-125m,multinomial sampling,0.268453434,0.064642443,0.206195346,0.207090496,0.876010194,0.87850074,0.873823884,0.275553856,0.074730209,0.213923578,0.213954648,0.871605924,0.876488894,0.867128179,1131.714077
xsum,opt-125m,top-k sampling,0.26522974,0.066075594,0.207585111,0.208128492,0.875249445,0.878536515,0.872209562,0.270544079,0.070728178,0.208686174,0.20871624,0.870635348,0.875208847,0.866454315,1136.399944
xsum,opt-125m,top-p nucleus top-k sampling,0.254407339,0.060342705,0.197402731,0.197601133,0.873468229,0.875424785,0.871824116,0.266963596,0.068772871,0.205081508,0.205143195,0.870586457,0.875070446,0.866474297,635.8790107
xsum,opt-125m,top-p nucleus multinomial sampling,0.260268296,0.064168965,0.195435097,0.195666639,0.872404882,0.873501708,0.871602216,0.262314216,0.063912301,0.202014421,0.202084153,0.868272546,0.872231475,0.864687866,1186.267533
xsum,opt-125m,truncation multinomial sampling,0.253935583,0.057281595,0.197124437,0.197128907,0.869093913,0.869719779,0.868685735,0.258579979,0.063056191,0.198514227,0.198520754,0.867580808,0.870862493,0.864658398,1189.974739
xsum,opt-350m,beam search multinomial sampling,0.321005453,0.109004875,0.25963207,0.259465135,0.890987839,0.900583614,0.881897855,0.323913969,0.116347692,0.260887793,0.260774195,0.886701347,0.897929284,0.876094353,8886.562769
xsum,opt-350m,grouped beam search,0.321127116,0.109475893,0.256823607,0.256725218,0.890233319,0.897058752,0.883755178,0.331087858,0.119863896,0.264992077,0.264931471,0.886566023,0.895259609,0.878393947,6932.331344
xsum,opt-350m,beam search,0.312945662,0.107614037,0.252894945,0.253326592,0.889721976,0.897274955,0.882540599,0.326186729,0.121428417,0.263712252,0.263715535,0.887270252,0.897651926,0.877474665,8638.131443
xsum,opt-350m,beam search top-k sampling,0.308856974,0.09962298,0.246806541,0.246812608,0.888378618,0.894622692,0.882460118,0.320398066,0.111022452,0.256413534,0.256288473,0.88521303,0.893688822,0.877233796,4145.705343
xsum,opt-350m,contrastive search,0.311884024,0.098490878,0.245948907,0.24534504,0.885494545,0.890419757,0.880899837,0.31955599,0.106619509,0.252778855,0.252774522,0.882529732,0.888547066,0.876957187,4039.239914
xsum,opt-350m,greedy decoding,0.310456396,0.09750138,0.242668362,0.242334367,0.884858996,0.88902912,0.880986769,0.319997995,0.106611246,0.252958024,0.252943256,0.882533784,0.888527113,0.876988192,2377.056632
xsum,opt-350m,top-p nucleus top-k sampling,0.308509222,0.089987369,0.236376366,0.236215095,0.88294516,0.885970718,0.88018653,0.308508881,0.09785512,0.240486,0.240459758,0.880730348,0.885901235,0.875960369,2083.081023
xsum,opt-350m,multinomial sampling,0.293190305,0.084001576,0.227970411,0.227771979,0.882533452,0.884423567,0.880889359,0.298430326,0.091401359,0.233123778,0.23313493,0.878392966,0.882696247,0.874476819,2592.793597
xsum,opt-350m,truncation multinomial sampling,0.285040512,0.076246079,0.220269406,0.22092456,0.880814316,0.883907927,0.877973957,0.297529278,0.089916443,0.230776891,0.230790727,0.878392915,0.882617533,0.874539146,2583.27585
xsum,opt-350m,top-p nucleus multinomial sampling,0.284594391,0.078046349,0.224889862,0.224188587,0.879868018,0.88158762,0.878503139,0.29303167,0.084797686,0.228552819,0.228562928,0.876426683,0.880601117,0.872638843,2475.702011
xsum,opt-350m,top-k sampling,0.265365866,0.077740409,0.20296129,0.202965612,0.87695543,0.876136235,0.878066073,0.26335958,0.067362575,0.201454806,0.201440143,0.869948427,0.871264074,0.86896571,2560.954546
xsum,opt-1.3b,beam search,0.381473484,0.156726739,0.307907101,0.306420492,0.903127638,0.910304173,0.896319513,0.381165216,0.1650476,0.311599925,0.311583447,0.898800377,0.907959188,0.89015956,10792.09815
xsum,opt-1.3b,grouped beam search,0.375209921,0.154902705,0.31449496,0.313565176,0.902631027,0.909093288,0.896517627,0.37896946,0.161014266,0.308680314,0.308659252,0.899135797,0.908108606,0.890653572,15893.76622
xsum,opt-1.3b,beam search multinomial sampling,0.377344186,0.154654539,0.307992794,0.306791092,0.902263702,0.910157004,0.894792283,0.374827463,0.158695772,0.306934839,0.30686128,0.898059821,0.907726961,0.888921842,11216.84552
xsum,opt-1.3b,beam search top-k sampling,0.363077865,0.140981187,0.291392609,0.290803213,0.901261591,0.908764358,0.894126389,0.377330894,0.159427903,0.307507796,0.307405239,0.897977443,0.906778884,0.889679304,8969.183004
xsum,opt-1.3b,contrastive search,0.36645168,0.142175275,0.2974955,0.296541702,0.898831801,0.903197592,0.894782549,0.381144626,0.160385014,0.308421247,0.308299262,0.897084601,0.902962782,0.891627823,8963.810535
xsum,opt-1.3b,greedy decoding,0.368206544,0.143831597,0.297995539,0.297661806,0.897695055,0.900899567,0.894800087,0.381318775,0.160317469,0.308004755,0.307925778,0.897135776,0.902996516,0.891696962,3634.945078
xsum,opt-1.3b,top-p nucleus top-k sampling,0.332851409,0.115827623,0.266584796,0.265557888,0.893142237,0.89564962,0.89090257,0.360009732,0.139315879,0.286618419,0.286566888,0.893241343,0.897840499,0.889025444,4304.959743
xsum,opt-1.3b,multinomial sampling,0.333876352,0.124609241,0.276458111,0.276703857,0.892088781,0.892596959,0.891817349,0.346545296,0.128432422,0.274137407,0.274168966,0.890348541,0.893872071,0.887178348,4183.349047
xsum,opt-1.3b,top-p nucleus multinomial sampling,0.332597473,0.111297701,0.265085408,0.263063126,0.891408077,0.893651362,0.889420567,0.35019672,0.132199741,0.278216415,0.278149557,0.891544128,0.895398091,0.888051945,3923.535448
xsum,opt-1.3b,top-k sampling,0.275718251,0.081176186,0.215461472,0.215134959,0.884404136,0.88244396,0.886640141,0.265051749,0.080764811,0.209441394,0.209452906,0.879668549,0.87961742,0.880011299,3951.776463
xsum,opt-1.3b,truncation multinomial sampling,0.30155592,0.089817897,0.224530907,0.22424174,0.884199642,0.882757795,0.885917582,0.305531404,0.097354128,0.238259776,0.238231252,0.881370298,0.882050775,0.881015149,4457.758588
xsum,opt-2.7b,beam search top-k sampling,0.413704782,0.180294245,0.33748981,0.336182438,0.909628863,0.917148786,0.902475852,0.408370929,0.192485077,0.338206524,0.33809431,0.904881443,0.913059201,0.897167114,14552.22469
xsum,opt-2.7b,beam search multinomial sampling,0.397665176,0.168079344,0.320152997,0.318756326,0.909155767,0.917561864,0.901180716,0.407845022,0.1928183,0.339037087,0.338917869,0.904666605,0.913500523,0.89632964,18297.45244
xsum,opt-2.7b,grouped beam search,0.409000886,0.179559323,0.334469272,0.332553773,0.908486377,0.914449978,0.902827999,0.406428873,0.187349664,0.336272055,0.3362392,0.904807404,0.913167034,0.896893379,40494.35109
xsum,opt-2.7b,beam search,0.399435923,0.174147171,0.323464169,0.321158941,0.908078845,0.913743918,0.902783581,0.41138212,0.191803132,0.339246365,0.339148297,0.904676127,0.911706126,0.898067558,9752.02212
xsum,opt-2.7b,contrastive search,0.400246149,0.169231856,0.317289411,0.315511679,0.905466696,0.90903877,0.902171613,0.405518183,0.184197738,0.332178167,0.332025406,0.902985325,0.908650751,0.897692539,9548.114403
xsum,opt-2.7b,greedy decoding,0.393074148,0.165718778,0.31288109,0.311755347,0.903706957,0.90709106,0.900606742,0.40654216,0.184984778,0.332578633,0.332426848,0.903037559,0.908657041,0.89779431,4963.021343
xsum,opt-2.7b,top-p nucleus top-k sampling,0.367046725,0.145752926,0.300261892,0.299384506,0.900280665,0.903462948,0.897359863,0.383115784,0.161858353,0.309250528,0.309214454,0.898906476,0.9033218,0.894843992,5664.026837
xsum,opt-2.7b,multinomial sampling,0.361172858,0.135555433,0.285342831,0.283963704,0.898856861,0.901157982,0.896763893,0.371440421,0.151880322,0.298874504,0.298968187,0.896305238,0.899821054,0.893128216,5556.08932
xsum,opt-2.7b,top-k sampling,0.356721813,0.133364267,0.282341354,0.28114035,0.898493136,0.900902549,0.896298944,0.372941446,0.15326024,0.299960189,0.299982505,0.896424644,0.899833817,0.893345716,5605.745183
xsum,opt-2.7b,top-p nucleus multinomial sampling,0.357231345,0.133108461,0.285639769,0.284798525,0.898257126,0.900598655,0.896089533,0.375309963,0.155524377,0.301885071,0.301984446,0.89753653,0.901460899,0.893952596,5317.794791
xsum,opt-2.7b,truncation multinomial sampling,0.342556206,0.1215541,0.270196513,0.269344856,0.895589291,0.897038429,0.894354161,0.362633475,0.142050439,0.288641451,0.288496988,0.894016174,0.896968239,0.891392409,5669.826585
