dataset,strategy,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,greedy-decoding,greedy decoding,0.18096761846181286,0.03107798214325077,0.130011537860802,0.1423366702172927,0.8498074727899888,0.8359949717334673,0.8643304331629884,0.17560252654049677,0.030473238296068163,0.1261732546390955,0.1377993095060489,0.8404701530759774,0.8292169741461578,0.8523594542325121,5080.302963972092
xsum,multinomial-sampling,multinomial sampling,0.19330631880721322,0.033327701816270566,0.13505985187937333,0.14752129103454487,0.8442941465798546,0.8296049091161466,0.8597336171888837,0.1858519768744353,0.031265937640490946,0.13255468649590435,0.1465416971763217,0.8363932227567562,0.8240397162634192,0.8494536977196203,5750.5590896606445
xsum,beam-search,beam search,0.22935430916270255,0.05354672617854454,0.1726402105156586,0.18439183227321826,0.8557266394297282,0.8414809037657345,0.8707506966357138,0.23152654777921616,0.05762642964888182,0.1673131129053065,0.18182303010938183,0.8501783394003377,0.8390547554527672,0.8619746812570442,18672.462978839874
xsum,beam-search-multinomial-sampling,beam search multinomial sampling,0.20797612924259606,0.04148128499163173,0.14863308705008899,0.16445432408367777,0.8508755979584712,0.8377820364400452,0.8647114126121297,0.22023153096599835,0.05264732433848972,0.1604167532295451,0.17561954999272206,0.8472781163454056,0.835599289663787,0.8596565288536757,18585.61707854271
xsum,beam-search-top-k-sampling,beam search top-k sampling,0.22766080096995478,0.05202045046768538,0.16799322851462353,0.1790900628169577,0.8537638164034077,0.8407038713202757,0.867653386849983,0.2247509858749272,0.054144835899170386,0.16384281502387416,0.17758910259981245,0.8482354588531753,0.8376115709716834,0.8595326869811827,19448.59409594536
xsum,grouped-beam-search,grouped beam search,0.219921786981753,0.048579701788289076,0.16004407429480366,0.1710989311272723,0.8535463798279855,0.8402408823078754,0.86765351599338,0.22669343851603063,0.05366277738677275,0.16491074094910962,0.17908250035456558,0.8487992531292646,0.8388819702909988,0.8593362851513242,14104.977406024933
xsum,top-k-sampling,top-k sampling,0.20086741120852858,0.035711069040556966,0.1354619947514465,0.15197405516969495,0.8452579419986874,0.831081264743618,0.8601640258349624,0.19133224907774493,0.03266907098440559,0.1362904504766366,0.15032625084375992,0.8388717662767299,0.8270411622350655,0.8513712233247109,5453.664505004883
xsum,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.19214064862638533,0.03327542758922762,0.13160790401933004,0.1443748157091731,0.8448537459560469,0.8321931788734361,0.8581855659391365,0.18454829368523323,0.029397732531810748,0.13183806457892072,0.14480873869767102,0.8361641294227063,0.8247843588903112,0.8481825320639657,5686.987849712372
xsum,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.18871469581649808,0.031869730159705054,0.1348948519787025,0.1517982102629496,0.8461585670125251,0.8330817824485255,0.8599211620349511,0.19737441416604806,0.03643371314148673,0.14174135829255385,0.15612892309649085,0.8409024393037685,0.8288657713341482,0.8536281989731835,5715.515201091766
xsum,contrastive-search,contrastive search,0.20894793242666704,0.04209769943976621,0.1581109057643063,0.16928840925349528,0.8470736122598835,0.8311447840110928,0.8639333984431099,0.2094470745230836,0.04395087107438794,0.15140797000049774,0.16613490066479344,0.8424155478917279,0.8299040359374389,0.8556812448351129,9714.821649074554
xsum,truncation-multinomial-sampling,truncation multinomial sampling,0.19660023522559067,0.03133093424457426,0.14053961808093435,0.15553066065734378,0.8443485212092307,0.8320433363026264,0.8572875594391542,0.19054204378068695,0.032478978091440736,0.13629165239821156,0.14931749397874594,0.8381115899676258,0.8264640377331706,0.8504234972220023,5480.459100723267
cnn_dailymail,greedy-decoding,greedy decoding,0.33574441020283363,0.13335089990627444,0.2170071141553298,0.2834707495152465,0.8504569351032216,0.840830651662683,0.860818072031903,0.353258962927682,0.15574076034455472,0.22922383496043316,0.2950349595312354,0.85797288937389,0.845949257713845,0.8707574753069522,7080.731559038162
