dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,opt-125m,grouped beam search,0.2928164378505669,0.09170247629181873,0.24143242249492813,0.24268585614637256,0.8863585223169888,0.8954281947192024,0.877722713877173,0.3053150702214157,0.10231359565083037,0.24419039627376782,0.24417187840605636,0.88138844652662,0.8925532240022733,0.8708401051655557,3970.746139526367
xsum,opt-125m,beam search top-k sampling,0.2966771805092441,0.09797107704203306,0.24184479343317017,0.24352205088282486,0.8854448865441715,0.8930005764260012,0.8782581984996796,0.3008149270107431,0.10148162767547085,0.2418240364836426,0.2417753347512156,0.8795033204324038,0.8895014362659269,0.8701171535022051,1760.1450679302216
xsum,opt-125m,beam search,0.29862875750320883,0.09447440889885445,0.24189908340420874,0.24289351024853106,0.8847456305634742,0.8929894963900248,0.8769314487775167,0.3037227725927599,0.10262864971764707,0.24319771520510652,0.2432089256325543,0.8814951823753061,0.8927723808948276,0.8708514992704669,3950.780125141144
xsum,opt-125m,beam search multinomial sampling,0.2915744080535716,0.0908901197037954,0.23217764305418973,0.23382530930790552,0.8832667306357739,0.8905686221870721,0.876358231493071,0.3007115369623835,0.10098043034279416,0.24155634806763787,0.24154403366797672,0.8795668547535406,0.8899197262409821,0.8698480584783461,2756.5736191272736
xsum,opt-125m,greedy decoding,0.2856300632595391,0.08463714171994839,0.22791029362785203,0.2293194528184031,0.8820889931099087,0.8873844696026222,0.8771114600639717,0.3007381569983473,0.09552521883956355,0.2380062918982863,0.2379944769226928,0.8777458559251526,0.8851365680139042,0.8708528728450387,577.2207663059235
xsum,opt-125m,contrastive search,0.2772372856926521,0.074945710798998,0.22150712601862832,0.2230810645420227,0.8801450589123894,0.885926379292619,0.8746850268513549,0.2951451590573152,0.08910469201965945,0.2326976504507779,0.23270912330741364,0.8762491275037376,0.8834459996512792,0.869540067830132,1615.2321124076843
xsum,opt-125m,multinomial sampling,0.2684534337663572,0.06464244254561213,0.206195346419408,0.20709049586999978,0.8760101935442757,0.878500739733378,0.8738238840710884,0.2755538559994532,0.07473020880944886,0.2139235784125485,0.21395464768259917,0.8716059235693182,0.8764888941605115,0.8671281789518097,1131.7140774726868
xsum,opt-125m,top-k sampling,0.26522974045885284,0.06607559354718381,0.20758511053677756,0.20812849199004885,0.8752494448540258,0.8785365153761471,0.8722095618060991,0.27054407923799234,0.07072817846790763,0.2086861743458791,0.20871623965572755,0.870635348269083,0.8752088465447565,0.8664543153128578,1136.3999435901642
xsum,opt-125m,top-p nucleus top-k sampling,0.2544073390897603,0.060342705261975146,0.19740273051593582,0.19760113296483328,0.8734682289993062,0.8754247853568956,0.8718241155147552,0.2669635956293971,0.06877287126835421,0.2050815078429602,0.2051431952005843,0.8705864566275217,0.8750704456475175,0.8664742973475781,635.8790106773376
xsum,opt-125m,top-p nucleus multinomial sampling,0.26026829586806366,0.0641689651659406,0.1954350968265767,0.19566663934849865,0.8724048815521539,0.8735017081101736,0.8716022156032861,0.26231421584237435,0.06391230085136788,0.20201442112475404,0.20208415305299543,0.8682725457022491,0.8722314747039555,0.8646878660708955,1186.2675330638885
xsum,opt-125m,truncation multinomial sampling,0.25393558298152086,0.057281595436483486,0.19712443722821638,0.19712890681612993,0.8690939130736333,0.8697197787901935,0.868685735206978,0.2585799794799939,0.06305619054474235,0.1985142274701681,0.1985207535597588,0.8675808077124716,0.8708624928263785,0.864658397638682,1189.9747388362885
