dataset,strategy,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,beam-search-multinomial-sampling,beam search multinomial sampling,0.3855059550230665,0.16176000977902977,0.3183831464513594,0.31864344022255425,0.9048789260434169,0.9127132062818489,0.8974488558722478,0.3811523307717529,0.16607285128330831,0.31367312228512506,0.31357762239606624,0.8993885960278002,0.9087333482677497,0.8905701149783088,12724.380416154861
xsum,beam-search,beam search,0.3813788601890197,0.15699241970825678,0.30746581750372715,0.3080336329429769,0.9031276387326858,0.9103041717819139,0.8963195149805031,0.38117446845811365,0.1651961184736797,0.3116694554261966,0.3115843235456953,0.8987828760586896,0.9079196476415523,0.8901642284636359,9888.197383880615
xsum,beam-search-top-k-sampling,beam search top-k sampling,0.3790436946484019,0.1604358640672253,0.3102698912897387,0.311068775155259,0.9043324455326679,0.9117058018843333,0.8973815750842001,0.37818346367859534,0.1622261693310153,0.30971016119393857,0.3096692812994247,0.8981580467247269,0.9072012599810814,0.8896207979639758,13691.038913726807
xsum,contrastive-search,contrastive search,0.36658979805100056,0.14190160878128877,0.2997633115660047,0.3001682908716184,0.8993030932604098,0.9034796281188142,0.8954226701867347,0.3809849716789762,0.16021209631730265,0.3081892460579737,0.3081847924096593,0.8970716777877901,0.9029766897900591,0.891590386206664,7465.446870565414
xsum,greedy-decoding,greedy decoding,0.36745568559971475,0.14332741753389858,0.2976184758063636,0.298919906160653,0.8976950557792888,0.9008995703622407,0.894800093828463,0.3813148702771485,0.16038781331118668,0.30807531302816826,0.3080360698562563,0.8971430860445337,0.9030081400709244,0.8916995452561425,3104.884682416916
xsum,grouped-beam-search,grouped beam search,0.3903904756425096,0.16873485073142191,0.31527841113550575,0.3149954755536438,0.9035599173284045,0.9105752946115008,0.8969423911150765,0.37763907404484687,0.16056938233499335,0.30827283142978334,0.308342457814447,0.8985856407417835,0.9081434925956633,0.8895475691441194,9318.27392911911
xsum,multinomial-sampling,multinomial sampling,0.34525586593186297,0.13219044051809203,0.2835910900259533,0.28479047503916044,0.8938140968481699,0.8968302911403132,0.8911213161898595,0.34401188013945827,0.12762197473997308,0.2730264793278865,0.27297315732530475,0.8900158843889977,0.893290792396925,0.8870926679280198,3723.6257739067078
xsum,top-k-sampling,top-k sampling,0.35452098720625236,0.1341899334234236,0.27893966875260623,0.27916290091121876,0.8964959827123904,0.8983462289267895,0.8948990165018568,0.34805291246541764,0.13178760362743874,0.2769864002380684,0.2769624962337387,0.891168634035055,0.8950446233413751,0.8876598692113913,2984.797666788101
xsum,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.33937150050516607,0.1287300610053772,0.2718207352688713,0.27167452076410925,0.8953930455095628,0.8989680123095419,0.8920831721203,0.35108428269542724,0.1339537245025505,0.2792429681415496,0.2791772101549158,0.8918103801336104,0.8958823312428391,0.8881032388534361,3315.027517080307
xsum,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.34000304253808955,0.1194792259578496,0.2695397351552056,0.2696738954940283,0.8966630855027367,0.9010080887990839,0.8926080249103845,0.3584231528441496,0.13985482235418262,0.28604052101890803,0.2859446274029823,0.8930354836612072,0.8976363456307106,0.8888135605066725,3056.4814114570618
xsum,truncation-multinomial-sampling,truncation multinomial sampling,0.34723621588680875,0.12912831365290914,0.27727967808594706,0.27758573053096547,0.8952660455423243,0.8986732340326496,0.8921140864783642,0.3496421797998728,0.13242658724922113,0.27783080620774325,0.2778259333345602,0.8912548700409029,0.8950964289267086,0.8877751056198935,3001.5655605793
cnn_dailymail,beam-search-multinomial-sampling,beam search multinomial sampling,0.40514987495490945,0.19860010413220264,0.3051172390217043,0.3838370825138798,0.8772983410025156,0.8865245029490482,0.8686199995779222,0.3774216339743154,0.17639470208946234,0.27288854365431614,0.35252465024063295,0.8724155378947495,0.881782348701512,0.8636933316171564,13739.215197324753
cnn_dailymail,beam-search,beam search,0.3649781968883463,0.14698548212857476,0.26484186873314897,0.3451915736591485,0.8756795480687131,0.8906360339092952,0.8615945686576187,0.35887146909901263,0.1381111827959165,0.2478759968208114,0.33495610115725705,0.8725585039214954,0.8869511237026887,0.8589819909589492,13230.34563446045
cnn_dailymail,beam-search-top-k-sampling,beam search top-k sampling,0.4090685257201638,0.19177419809781165,0.2967251377609116,0.38280490413541435,0.8771621725892508,0.8828170370030147,0.8719764762027289,0.3841300517515762,0.17472341538741087,0.2727506202962309,0.3600493619448032,0.8733997699062134,0.8801551084372797,0.8672105426229663,10173.857521772385
cnn_dailymail,contrastive-search,contrastive search,0.40800202732942137,0.18017010401297584,0.29151043544749594,0.386707095527726,0.8754043579101562,0.8753826868149542,0.8757022497474506,0.3951262442095027,0.17558434551025992,0.27465027616743676,0.37149653452240766,0.8746616720019211,0.8766404048330212,0.8730874854000209,14770.011895895004
cnn_dailymail,greedy-decoding,greedy decoding,0.4061759601353604,0.18382497235217166,0.29071847157521197,0.38320119964531896,0.8762313819700672,0.877140086825176,0.8755884952442621,0.39459956826046505,0.1767229603165669,0.27570873409489505,0.3717299972053004,0.8746085227886209,0.8764457101666117,0.8731817382941901,6382.357148647308
cnn_dailymail,grouped-beam-search,grouped beam search,0.403790327566921,0.1816263256940395,0.2888519032493717,0.3808288035674881,0.8757937146771338,0.8763020352650714,0.8755669190037635,0.39480722295272974,0.17683357909750919,0.2757107820738276,0.37193610748214545,0.8746599077596461,0.8765389928905488,0.8731913527792992,16568.898009300232
cnn_dailymail,multinomial-sampling,multinomial sampling,0.39101911022467006,0.1700299253798248,0.26522249156562083,0.3668286418208293,0.8733199898914624,0.8784454022684405,0.8686615311971275,0.3754791201211634,0.15118678029258115,0.2528085996994887,0.351634005420122,0.8712946274042099,0.8766666792602649,0.8663034153187554,5017.486941814423
cnn_dailymail,top-k-sampling,top-k sampling,0.398734218148023,0.166810532363928,0.27726266098398666,0.37315328194559355,0.8745668049781553,0.8769945515099392,0.8724562391158073,0.3802211338494421,0.15605622193451388,0.2568785416703691,0.3563786286300311,0.8723321776766699,0.8760555371323162,0.8690012282163692,5982.886042833328
cnn_dailymail,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.40200063117520823,0.1738286018944361,0.2773111671940146,0.3779989613933905,0.8758144910617541,0.8776450900621312,0.874390520075316,0.38662261037182744,0.16359029614655968,0.2639135022565252,0.36281018681791094,0.8735257195417686,0.8763018352604283,0.8711484508141959,6946.2716588974
cnn_dailymail,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.39599805805953514,0.17117682220654376,0.282959215023747,0.3779919164253674,0.8748910510411827,0.8776020651222557,0.8725918935191247,0.38474885440667916,0.1616964974823789,0.2621320834295746,0.36068733937208697,0.8728986212750343,0.8766915087243884,0.869488564789825,5950.9609298706055
cnn_dailymail,truncation-multinomial-sampling,truncation multinomial sampling,0.39502030716096537,0.16045192047642148,0.26316383330044957,0.36994491462358536,0.874720242715651,0.8773567952135558,0.8724335694825778,0.3755016548468779,0.151197320116947,0.2520567434849379,0.35129691183139145,0.8717531854540225,0.8756533060537618,0.8682415849172602,6024.344695568085
samsum,beam-search-multinomial-sampling,beam search multinomial sampling,0.4918149738256776,0.25674580199249075,0.42101608396525914,0.4251012182985925,0.9165912712061847,0.9261964839181782,0.9075665841867895,0.4827009032884245,0.2527431029525877,0.413864213594351,0.4135693510062484,0.91499168430347,0.9249213631190951,0.9057878933401189,893.875696182251
samsum,beam-search,beam search,0.4816376412552512,0.24628911198136608,0.4060875764983707,0.40918100052028017,0.9152323537402682,0.9237714336242204,0.9072728289498223,0.4903274594512402,0.2573240806393902,0.41974289639147105,0.4192935119927481,0.9153930896367782,0.9250583094846052,0.9064501644781948,699.7840006351471
samsum,beam-search-top-k-sampling,beam search top-k sampling,0.48101652041672993,0.2513641210304423,0.410156498589789,0.4126103062247247,0.9152609573470222,0.9245291256610259,0.9066608415709602,0.48025008233962846,0.24590237104824636,0.40470816586328506,0.40503951159423646,0.9137684390658424,0.9228685059390225,0.9053520434359782,564.6225383281708
samsum,contrastive-search,contrastive search,0.4887031426956959,0.24750691074194942,0.4100959273152606,0.4115299335330992,0.9134822281790368,0.9168370859122571,0.910694279052593,0.4850772728375609,0.2442890068689847,0.40844385532964966,0.4084058342880696,0.9134496855066228,0.9192404099290915,0.9082363747123979,1438.1071517467499
samsum,greedy-decoding,greedy decoding,0.48539253000124005,0.2420015578074633,0.40822258462258615,0.409568906086091,0.9128716610096119,0.9160736659426748,0.9102651763845373,0.4837715039025735,0.2431626177433776,0.40556516977203516,0.4053923721712219,0.9130060486450009,0.9186409328301165,0.9079202142099466,243.53911185264587
samsum,grouped-beam-search,grouped beam search,0.49242264468391406,0.25519443584099766,0.41647745135628467,0.4205384578183605,0.9159264557155562,0.9240382917133378,0.9084424391204928,0.4866801467799654,0.25349542671389186,0.41579862202476414,0.4156324720392557,0.9151406295424707,0.9246493048865863,0.9063289154580224,660.4960503578186
samsum,multinomial-sampling,multinomial sampling,0.43507790210602254,0.19611146170625315,0.36384911455127844,0.3624658511077423,0.9081234770056642,0.9088888815891596,0.9078277827780924,0.4497764100513666,0.1950206548918414,0.36200376317120464,0.362178047362965,0.9074363897717188,0.9109347209388956,0.9044476657996684,281.2093663215637
samsum,top-k-sampling,top-k sampling,0.4586811172781634,0.21307578114070916,0.37644948263369205,0.37773746116356344,0.9093112820460473,0.9133023619651794,0.9059063152030662,0.45947919707213647,0.20737761615075515,0.3741728801680572,0.3746758623977183,0.9100035211396595,0.9142767190933228,0.9062306774696005,262.8135783672333
samsum,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.4742244414576239,0.2158731438080978,0.3914212378358845,0.39467862703997003,0.9121976075349031,0.9118432858843862,0.9131151113981082,0.4689495591069811,0.21716586012666206,0.38504264565085256,0.38486364600411516,0.910281904742249,0.9146480312131992,0.9064182431706579,324.6142957210541
samsum,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.47539950118965846,0.2156550981940748,0.37843929002737187,0.3796119259877891,0.9111270661707278,0.9149019431184839,0.9078906340363585,0.46689644099654687,0.2111956089961251,0.37723603483095947,0.37728812596645755,0.9104694881282009,0.9136282776156043,0.9077778778087816,283.02868390083313
samsum,truncation-multinomial-sampling,truncation multinomial sampling,0.44166440022779374,0.19893565924985118,0.36237259786625775,0.3624506240377168,0.9078710432405825,0.9106350989989292,0.9055966698093179,0.45555422895672704,0.20635627797124756,0.3745406286164315,0.37454298850395146,0.9087166782554981,0.9122680229145091,0.9056977778127342,275.2255175113678
