dataset,model,train_epoch,train_step,train_loss,train_perplexity,validation_loss,validation_perplexity,test_loss,test_perplexity
xsum,opt-125m,3,1500,2.687895833333333,14.700710608540154,2.59375,13.379852088930456,2.609375,13.59055410055989
xsum,opt-350m,3,1800,2.480277777777778,11.944581896482541,2.40625,11.092286978670202,2.421875,11.26696508157019
xsum,opt-1.3b,2,1400,2.162354910714286,8.691581475674738,2.109375,8.243087744472826,2.125,8.372897488127265
xsum,opt-2.7b,2,1400,2.028560267857143,7.603132001473117,2.0,7.38905609893065,2.015625,7.505416801107283
xsum,opt-6.7b,1,500,1.9789140625,7.2348820879446025,1.921875,6.833759763883972,1.9296875,6.887357605997627
xsum,opt-13b,1,100,1.967373046875,7.151864177684788,1.921875,6.833759763883972,1.9296875,6.887357605997627
xsum,opt-30b,1,100,1.906787109375,6.7314266804829215,1.875,6.5208191203301125,1.8828125,6.571962538556527
cnn_dailymail,opt-125m,2,1400,2.699910714285714,14.878403236705788,2.5625,12.968197316969134,2.578125,13.172416709211404
cnn_dailymail,opt-350m,2,1000,2.51628125,12.382463651469084,2.390625,10.920317008742302,2.40625,11.092286978670202
cnn_dailymail,opt-1.3b,1,700,2.201450892857143,9.038117330885065,2.09375,8.115290514356445,2.109375,8.243087744472826
cnn_dailymail,opt-2.7b,2,1300,2.048545673076923,7.756612249426039,1.9921875,7.331554008170247,2.0,7.38905609893065
cnn_dailymail,opt-6.7b,1,500,1.9903671875,7.318220428087773,1.9140625,6.780579023486763,1.921875,6.833759763883972
cnn_dailymail,opt-13b,1,100,1.98671875,7.291569005832163,1.90625,6.727812138894691,1.9140625,6.780579023486763
cnn_dailymail,opt-30b,1,100,1.9258203125,6.860774337127923,1.8515625,6.369764508102507,1.859375,6.419723190321737
samsum,opt-125m,9,500,2.30675,10.041735922847453,2.1875,8.912902981198737,2.203125,9.053260780008058
samsum,opt-350m,11,600,2.028528645833333,7.602891578853283,2.0625,7.865609273944892,2.078125,7.9894745966477085
samsum,opt-1.3b,7,350,1.8490848214285713,6.354001814583502,1.8984375,6.67545588945633,1.921875,6.833759763883972
samsum,opt-2.7b,2,100,1.948359375,7.017165594241244,1.8359375,6.271010462790426,1.8515625,6.369764508102507
samsum,opt-6.7b,1,50,1.8597265625,6.421980521028998,1.78125,5.937273373745607,1.796875,6.030771824634841
samsum,opt-13b,1,50,1.8124609375,6.125503379732766,1.78125,5.937273373745607,1.7890625,5.983839985957149
samsum,opt-30b,1,50,1.80939453125,6.106748867057681,1.7890625,5.983839985957149,1.796875,6.030771824634841
